number,symbol,name,atomic_mass,category,period,group,block,density,melt,boil,molar_heat,electron_affinity,electronegativity_pauling,electron_configuration
1,H,Hydrogen,1.008,diatomic nonmetal,1,1,s,0.08988,13.99,20.271,28.836,72.769,2.2,1s1
2,He,Helium,4.0026022,noble gas,1,18,s,0.1786,0.95,4.222,,-48.0,,1s2
3,Li,Lithium,6.94,alkali metal,2,1,s,0.534,453.65,1603.0,24.86,59.6326,0.98,1s2 2s1
4,Be,Beryllium,9.01218315,alkaline earth metal,2,2,s,1.85,1560.0,2742.0,16.443,-48.0,1.57,1s2 2s2
5,B,Boron,10.81,metalloid,2,13,p,2.08,2349.0,4200.0,11.087,26.989,2.04,1s2 2s2 2p1
6,C,Carbon,12.011,polyatomic nonmetal,2,14,p,1.821,,,8.517,121.7763,2.55,1s2 2s2 2p2
7,N,Nitrogen,14.007,diatomic nonmetal,2,15,p,1.251,63.15,77.355,,-6.8,3.04,1s2 2s2 2p3
8,O,Oxygen,15.999,diatomic nonmetal,2,16,p,1.429,54.36,90.188,,140.976,3.44,1s2 2s2 2p4
9,F,Fluorine,18.9984031636,diatomic nonmetal,2,17,p,1.696,53.48,85.03,,328.1649,3.98,1s2 2s2 2p5
10,Ne,Neon,20.17976,noble gas,2,18,p,0.9002,24.56,27.104,,-116.0,,1s2 2s2 2p6
11,Na,Sodium,22.989769282,alkali metal,3,1,s,0.968,370.944,1156.09,28.23,52.867,0.93,1s2 2s2 2p6 3s1
12,Mg,Magnesium,24.305,alkaline earth metal,3,2,s,1.738,923.0,1363.0,24.869,-40.0,1.31,1s2 2s2 2p6 3s2
13,Al,Aluminium,26.98153857,post-transition metal,3,13,p,2.7,933.47,2743.0,24.2,41.762,1.61,1s2 2s2 2p6 3s2 3p1
14,Si,Silicon,28.085,metalloid,3,14,p,2.329,1687.0,3538.0,19.789,134.0684,1.9,1s2 2s2 2p6 3s2 3p2
15,P,Phosphorus,30.9737619985,polyatomic nonmetal,3,15,p,1.823,,,23.824,72.037,2.19,1s2 2s2 2p6 3s2 3p3
16,S,Sulfur,32.06,polyatomic nonmetal,3,16,p,2.07,388.36,717.8,22.75,200.4101,2.58,1s2 2s2 2p6 3s2 3p4
17,Cl,Chlorine,35.45,diatomic nonmetal,3,17,p,3.2,171.6,239.11,,348.575,3.16,1s2 2s2 2p6 3s2 3p5
18,Ar,Argon,39.9481,noble gas,3,18,p,1.784,83.81,87.302,,-96.0,,1s2 2s2 2p6 3s2 3p6
